Year,Avg_Sea_Level_Rise_mm,Total_Population,Avg_Temperature_C,Avg_CO2
2000.0,2.94,3.3106874222E10,20.502,11.225
2001.0,3.273,2.7180550508E10,20.117,9.929
2002.0,2.953,2.9486389681E10,21.433,9.933
2003.0,2.934,2.7462195566E10,18.22,11.085
2004.0,2.79,3.4627216578E10,18.804,10.0
2005.0,2.938,2.9647998512E10,19.532,8.538
2006.0,3.056,2.8680281598E10,19.805,10.497
2007.0,2.823,2.6291359545E10,20.563,10.335
2008.0,3.031,2.3417013819E10,19.144,10.375
2009.0,2.761,2.327144568E10,19.73,10.364
2010.0,3.13,2.1627532211E10,17.963,9.873
2011.0,3.027,3.6106019344E10,18.857,9.809
2012.0,2.95,2.9255979125E10,17.569,10.64
2013.0,2.977,2.0335400441E10,18.829,11.135
2014.0,3.123,3.2072245827E10,20.834,11.409
2015.0,3.053,2.7003922941E10,19.916,9.667
2016.0,3.008,3.8379863043E10,21.161,10.398
2017.0,2.875,2.8933562411E10,19.478,8.234
2018.0,3.022,3.1078209629E10,23.25,10.443
2019.0,3.2,2.8678995974E10,20.402,9.812
2020.0,3.309,3.0013257563E10,19.044,10.247
2021.0,3.087,3.246394758E10,20.076,11.522
2022.0,2.96,3.3791232105E10,18.96,12.327
2023.0,3.007,3.247155271E10,21.107,11.402
